,src_id,dst_id
11227,7575,64050
11230,7575,64098
11231,7575,64200
11234,7575,64313
11570,7575,17559
11575,22388,7660
11576,22388,23855
11581,33,7018
11583,13979,714
11597,34,174
11600,34,33287
11602,35,3356
11608,42,701
11610,42,852
11611,42,1103
11613,42,1239
11614,42,1267
11615,42,1273
11616,42,1280
11618,42,1764
11621,42,1916
11625,42,2497
11630,42,3216
11631,42,3223
11632,42,3257
11634,42,3292
11635,42,3303
11636,42,3320
11639,42,3491
11640,42,3741
11643,42,4637
11646,42,4826
11649,42,5645
11651,42,5713
11652,42,6079
11656,42,6461
11659,42,6762
11660,42,6830
11663,42,7473
11666,42,7545
11667,42,7660
11668,42,7713
11669,42,7922
11670,42,8218
11671,42,8220
11674,42,8426
11675,42,8447
11676,42,8455
11677,42,8468
11679,42,8758
11683,42,8966
11684,42,9002
11685,42,9145
11687,42,9268
11688,42,9304
11690,42,9902
11693,42,11096
11694,42,11164
11699,42,12552
11701,42,12779
11702,42,12859
11703,42,12874
11704,42,12956
11705,42,13004
11706,42,13030
11707,42,13237
11709,42,13786
11713,42,14537
11715,42,14840
11717,42,15412
11720,42,15576
11727,42,16735
11728,42,18106
11729,42,19151
11733,42,20080
11735,42,20764
11740,42,21320
11747,42,24482
11748,42,24516
11749,42,24961
11750,42,25091
11756,42,28716
11758,42,29075
11761,42,29467
11764,42,29691
11765,42,29791
11768,42,30844
11771,42,31027
11772,42,31133
11774,42,32097
11779,42,34224
11781,42,34549
11785,42,35266
11786,42,35280
11788,42,35369
11793,42,36351
11795,42,37100
11797,42,37271
11798,42,37468
11799,42,37497
11801,42,37662
11803,42,37721
11805,42,38001
11807,42,38880
11811,42,39533
11812,42,39737
11816,42,41095
11818,42,41327
11823,42,42473
11825,42,42708
11826,42,45352
11828,42,47147
11831,42,47787
11837,42,48858
11845,42,49788
11847,42,50300
11848,42,50304
11855,42,51531
11860,42,52320
11865,42,55329
11866,42,55720
11867,42,56655
11868,42,56665
11871,42,58057
11874,42,58453
11876,42,58952
11878,42,59605
11881,42,60171
11884,42,61292
11886,42,61568
11892,42,63956
11934,42,1299
11935,42,2914
11936,42,3356
11937,42,3549
11940,513,174
11943,513,1103
11948,513,2603
11950,513,3303
11956,513,9885
11961,513,13030
11963,513,13335
11964,513,15169
11967,513,15576
11969,513,17579
11973,513,20940
11982,513,30781
12011,513,62000
12036,513,6730
12037,513,20965
12038,513,21320
12039,513,25091
12040,553,174
12043,553,702
12044,553,714
12045,553,1239
12047,553,1267
12048,553,1680
12049,553,1764
12050,553,1820
12052,553,1836
12053,553,2119
12054,553,2603
12058,553,3223
12060,553,3292
12061,553,3303
12062,553,3326
12063,553,3462
12067,553,4651
12068,553,4788
12071,553,5539
12072,553,5578
12074,553,5713
12076,553,6461
12077,553,6661
12078,553,6663
12081,553,6697
12084,553,6774
12086,553,6866
12089,553,7552
12090,553,7713
12091,553,8075
12092,553,8218
12093,553,8220
12094,553,8262
12098,553,8359
12102,553,8400
12103,553,8426
12104,553,8447
12105,553,8455
12106,553,8473
12107,553,8529
12108,553,8551
12113,553,8657
12114,553,8708
12116,553,8732
12117,553,8758
12118,553,8763
12119,553,8764
12120,553,8767
12121,553,8781
12123,553,8881
12125,553,8926
12126,553,8932
12127,553,8953
12128,553,8966
12129,553,9002
12130,553,9009
12132,553,9063
12133,553,9116
12136,553,9145
12139,553,9299
12140,553,9304
12141,553,9318
12142,553,9381
12143,553,9498
12144,553,10158
12145,553,12297
12146,553,12301
12151,553,12552
12153,553,12578
12156,553,12713
12157,553,12714
12158,553,12741
12159,553,12779
12161,553,12883
12163,553,13030
12165,553,13101
12166,553,13193
12167,553,13194
12169,553,13237
12170,553,13249
12172,553,13335
12175,553,13786
12178,553,14840
12179,553,15169
12182,553,15557
12185,553,15694
12186,553,15695
12188,553,15802
12190,553,15830
12193,553,15965
12194,553,16097
12196,553,16265
12199,553,17557
12201,553,18106
12202,553,19551
12204,553,20473
12205,553,20485
12206,553,20562
12207,553,20647
12208,553,20676
12209,553,20764
12210,553,20773
12211,553,20804
12215,553,20940
12220,553,21413
12223,553,22356
12224,553,22822
12227,553,24482
12230,553,24724
12233,553,24961
12234,553,25091
12237,553,25291
12240,553,28716
12244,553,28917
12247,553,29049
12248,553,29075
12249,553,29076
12252,553,29208
12253,553,29226
12254,553,29286
12257,553,29467
12260,553,29838
12261,553,30844
12264,553,31027
12266,553,31133
12267,553,31216
12271,553,31500
12274,553,32934
12275,553,33922
12278,553,34224
12280,553,34309
12282,553,34549
12284,553,34655
12285,553,34772
12293,553,35280
12295,553,35320
12299,553,35753
12300,553,35805
12301,553,36236
12302,553,36351
12303,553,37100
12304,553,37271
12305,553,37721
12306,553,38040
12308,553,38193
12309,553,38880
12314,553,39386
12317,553,39737
12319,553,41313
12323,553,41998
12324,553,42652
12326,553,42708
12329,553,43350
12332,553,43727
12335,553,44356
12338,553,45352
12339,553,45474
12341,553,45758
12344,553,47147
12351,553,47872
12361,553,48858
12367,553,49505
12368,553,49544
12370,553,49666
12373,553,49981
12374,553,50010
12376,553,50509
12384,553,51407
12386,553,52320
12387,553,53264
12391,553,55329
12392,553,55805
12394,553,56665
12396,553,57344
12401,553,57704
12404,553,58057
12407,553,58453
12409,553,59507
12410,553,59605
12412,553,59796
12417,553,60280
12423,553,61317
12424,553,61568
12428,553,62240
12431,553,62955
12489,553,1299
