node_id,feat
43530,"498, 498"
43598,"411, 411"
43714,"413, 413"
43727,"602, 602"
43798,"415, 415"
43832,"421, 421"
43973,"416, 416"
44020,"432, 432"
44030,"424, 424"
44096,"411, 411"
44128,"463, 463"
44347,"417, 417"
44386,"414, 414"
44391,"415, 415"
44479,"411, 411"
44670,"412, 412"
44772,"416, 416"
44843,"520, 520"
44927,"416, 416"
44943,"415, 415"
44964,"458, 458"
45102,"642, 642"
46489,"649, 649"
47104,"412, 412"
47156,"412, 412"
47211,"428, 428"
47321,"465, 465"
47333,"422, 422"
47440,"421, 421"
47441,"418, 418"
47478,"425, 425"
47531,"453, 453"
47541,"418, 418"
47542,"408, 408"
47562,"413, 413"
47569,"450, 450"
47626,"527, 527"
47645,"416, 416"
47652,"412, 412"
47655,"413, 413"
47764,"437, 437"
47775,"416, 416"
47989,"413, 413"
48024,"73, 73"
48061,"415, 415"
48128,"411, 411"
48249,"416, 416"
48276,"456, 456"
48282,"412, 412"
48293,"457, 457"
48349,"412, 412"
48366,"412, 412"
48399,"476, 476"
48524,"413, 413"
48614,"413, 413"
48719,"455, 455"
48739,"413, 413"
48822,"418, 418"
48848,"412, 412"
48914,"411, 411"
48940,"427, 427"
49037,"423, 423"
49063,"490, 490"
49106,"414, 414"
49120,"418, 418"
49124,"413, 413"
49136,"413, 413"
49218,"424, 424"
49368,"416, 416"
49403,"412, 412"
49458,"414, 414"
49476,"420, 420"
49505,"554, 554"
49531,"417, 417"
49544,"764, 764"
49724,"410, 410"
49730,"413, 413"
49776,"419, 419"
49779,"412, 412"
49813,"416, 416"
50060,"418, 418"
50157,"411, 411"
50241,"422, 422"
50258,"425, 425"
50265,"430, 430"
50313,"416, 416"
50340,"431, 431"
50384,"403, 403"
50473,"466, 466"
50509,"538, 538"
50646,"410, 410"
50775,"413, 413"
50911,"412, 412"
50923,"548, 548"
51011,"411, 411"
51028,"468, 468"
51032,"412, 412"
51092,"427, 427"
51178,"417, 417"
51218,"411, 411"
51297,"415, 415"
51341,"413, 413"
51343,"449, 449"
51408,"416, 416"
51669,"412, 412"
51685,"414, 414"
51764,"414, 414"
51904,"419, 419"
51973,"428, 428"
52016,"412, 412"
54994,"634, 634"
55256,"720, 720"
55805,"550, 550"
